# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13052.400  7.845820e-03
13052.410  6.536507e-03
13052.420  5.513397e-03
13052.430  4.703796e-03
13052.440  4.054907e-03
13052.450  3.528392e-03
13052.460  3.096215e-03
13052.470  2.737668e-03
13052.480  2.437276e-03
13052.490  2.183332e-03
13052.500  1.966880e-03
13052.510  1.780988e-03
13052.520  1.620232e-03
13052.530  1.480213e-03
13052.540  1.357763e-03
13052.550  1.249987e-03
13052.560  1.154653e-03
13052.570  1.069934e-03
13052.580  9.943238e-04
13052.590  9.265630e-04
13052.600  8.655926e-04
13052.610  8.105179e-04
13052.620  7.605887e-04
13052.630  7.151815e-04
13052.640  6.737764e-04
13052.650  6.359300e-04
13052.660  6.012560e-04
13052.670  5.694147e-04
13052.680  5.401072e-04
13052.690  5.130718e-04
13052.700  4.880789e-04
13052.710  4.649272e-04
13052.720  4.434398e-04
13052.730  4.234603e-04
13052.740  4.048506e-04
13052.750  3.874880e-04
13052.760  3.712633e-04
13052.770  3.560788e-04
13052.780  3.418474e-04
13052.790  3.284907e-04
13052.800  3.159383e-04
13052.810  3.041267e-04
13052.820  2.929987e-04
13052.830  2.825023e-04
13052.840  2.725905e-04
13052.850  2.632205e-04
13052.860  2.543535e-04
13052.870  2.459539e-04
13052.880  2.379894e-04
13052.890  2.304303e-04
13052.900  2.232495e-04
13052.910  2.164220e-04
13052.920  2.099251e-04
13052.930  2.037376e-04
13052.940  1.978400e-04
13052.950  1.922146e-04
13052.960  1.868448e-04
13052.970  1.817153e-04
13052.980  1.768118e-04
13052.990  1.721214e-04
13053.000  1.676317e-04
13053.010  1.633315e-04
13053.020  1.592103e-04
13053.030  1.552581e-04
13053.040  1.514660e-04
13053.050  1.478254e-04
13053.060  1.443282e-04
13053.070  1.409672e-04
13053.080  1.377353e-04
13053.090  1.346260e-04
13053.100  1.316332e-04
13053.110  1.287512e-04
13053.120  1.259747e-04
13053.130  1.232986e-04
13053.140  1.207181e-04
13053.150  1.182289e-04
13053.160  1.158267e-04
13053.170  1.135076e-04
13053.180  1.112679e-04
13053.190  1.091042e-04
13053.200  1.070130e-04
13053.210  1.049914e-04
13053.220  1.030364e-04
13053.230  1.014914e-04
13053.240  9.966183e-05
13053.250  9.789102e-05
13053.260  9.617671e-05
13053.270  9.451675e-05
13053.280  9.290910e-05
13053.290  9.135183e-05
13053.300  8.984316e-05
13053.310  8.838142e-05
13053.320  8.696504e-05
13053.330  8.559258e-05
13053.340  8.426272e-05
13053.350  8.297425e-05
13053.360  8.172606e-05
13053.370  8.051722e-05
13053.380  7.934689e-05
13053.390  7.821440e-05
13053.400  7.711925e-05
13053.410  7.606114e-05
13053.420  7.503997e-05
13053.430  7.405593e-05
13053.440  7.310960e-05
13053.450  7.220179e-05
13053.460  7.133399e-05
13053.470  7.050829e-05
13053.480  6.972766e-05
13053.490  6.899624e-05
13053.500  6.831971e-05
13053.510  6.770593e-05
13053.520  6.716571e-05
13053.530  6.671405e-05
13053.540  6.637177e-05
13053.550  6.616780e-05
13053.560  6.614188e-05
13053.570  6.634676e-05
13053.580  6.684679e-05
13053.590  6.770513e-05
13053.600  6.894480e-05
13053.610  7.047279e-05
13053.620  7.199299e-05
13053.630  7.300724e-05
13053.640  7.301070e-05
