# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13008.400  3.902372e-05
13008.410  3.344390e-05
13008.420  2.935723e-05
13008.430  2.664290e-05
13008.440  2.488621e-05
13008.450  2.374288e-05
13008.460  2.299141e-05
13008.470  2.249844e-05
13008.480  2.218336e-05
13008.490  2.199661e-05
13008.500  2.190674e-05
13008.510  2.189361e-05
13008.520  2.194429e-05
13008.530  2.205073e-05
13008.540  2.220849e-05
13008.550  2.241552e-05
13008.560  2.267239e-05
13008.570  2.298176e-05
13008.580  2.334855e-05
13008.590  2.378038e-05
13008.600  2.428813e-05
13008.610  2.488695e-05
13008.620  2.559807e-05
13008.630  2.645108e-05
13008.640  2.748812e-05
13008.650  2.877044e-05
13008.660  3.038931e-05
13008.670  3.248515e-05
13008.680  3.527932e-05
13008.690  3.913305e-05
13008.700  4.463656e-05
13008.710  5.271486e-05
13008.720  6.454079e-05
13008.730  8.068985e-05
13008.740  9.905556e-05
13008.750  1.133539e-04
13008.760  1.165033e-04
13008.770  1.075625e-04
13008.780  9.289043e-05
13008.790  7.975514e-05
13008.800  7.157763e-05
13008.810  6.866229e-05
13008.820  7.054772e-05
13008.830  7.727204e-05
13008.840  8.966116e-05
13008.850  1.089369e-04
13008.860  1.352181e-04
13008.870  1.646205e-04
13008.880  1.874947e-04
13008.890  1.928166e-04
13008.900  1.774163e-04
13008.910  1.490683e-04
13008.920  1.190959e-04
13008.930  9.441124e-05
13008.940  7.644369e-05
13008.950  6.396120e-05
13008.960  5.531711e-05
13008.970  4.923200e-05
13008.980  4.485407e-05
13008.990  4.163602e-05
13009.000  3.922569e-05
13009.010  3.739240e-05
13009.020  3.598139e-05
13009.030  3.488629e-05
13009.040  3.403228e-05
13009.050  3.336565e-05
13009.060  3.284705e-05
13009.070  3.244721e-05
13009.080  3.214395e-05
13009.090  3.192027e-05
13009.100  3.176296e-05
13009.110  3.166163e-05
13009.120  3.160782e-05
13009.130  3.159539e-05
13009.140  3.161874e-05
13009.150  3.167351e-05
